Name,Short Description,Author,URL,Child Category
ActionBar-PullToRefresh,ActionBar-PullToRefresh provides an easy way to add a modern version of the pull-to-refresh interaction to your application.,chrisbanes,http://github.com/chrisbanes/ActionBar-PullToRefresh,PullToRefresh
Android Asset Studio,"Excellent community tools to generate custom graphics for Actionbars , UI controls and icons.",Community,http://android-ui-utils.googlecode.com/hg/asset-studio/dist/index.html?utm_source=twitterfeed&utm_medium=twitter,Development Tools
Android Asynchronous Http Client,"An asynchronous callback-based Http client for Android built on top of Apache’s HttpClient libraries. All requests are made outside of your app’s main UI thread, but any callback logic will be executed on the same thread as the callback was created using Android’s Handler message passing.",loopj,http://github.com/loopj/android-async-http,Networking
android-iconify,Integration of FontAwesome for Android,JoanZapata,https://github.com/JoanZapata/android-iconify,Icons
android-menudrawer,"A slide-out menu implementation, which allows users to navigate between views in your app. Most commonly the menu is revealed by either dragging the edge of the screen, or clicking the 'up' button in the action bar.",SimonTV,https://github.com/SimonVT/android-menudrawer,Navigation Drawer
android-sqllite-asset-helper,"An Android helper class to manage database creation and version management using an application's raw asset files.

This class provides developers with a simple way to ship their Android app with an existing SQLite database (which may be pre-populated with data) and to manage its initial creation and any upgrades required with subsequent version releases.",jgilfelt,https://github.com/jgilfelt/android-sqlite-asset-helper,Databases
android-stackblur,"Android StackBlur is a library that can perform a blurry effect on a Bitmap based on a gradient or radius, and return the result. The library is based on the code of Mario Klingemann.",kikoso,https://github.com/kikoso/android-stackblur,ImageView
android-styled-dialogs,This library makes styling and using dialogs a piece of cake.,inmite,https://github.com/inmite/android-styled-dialogs,dialogs
Android-SwipeToDismiss,Sample code that shows how to make ListView or other views support the swipe-to-dismiss Android UI pattern.,romannurik,https://github.com/romannurik/Android-SwipeToDismiss,Listview
Android-Universal-Image-Loader,"Powerful and flexible library for loading, caching and displaying images on Android.",nostra13,https://github.com/nostra13/Android-Universal-Image-Loader,Image Loading
Android-ViewPagerIndicator,Paging indicator widgets that are compatible with the ViewPager from the Android Support Library to improve discoverability of content.,JakeWharton,https://github.com/JakeWharton/Android-ViewPagerIndicator,ViewPager
Android-Wheel-Menu,A wheel menu for android,anupcowkur,https://github.com/anupcowkur/Android-Wheel-Menu,Wheel Menu
AndroidDrawableFactory,A Java Application to create appropriate Drawable resources for your Android application,tizionario,https://github.com/tizionario/AndroidDrawableFactory,Development Tools
AndroidFaceCropper,A library for cropping faces out of a bitmap and ImageViews.,lafosca,https://github.com/lafosca/AndroidFaceCropper,ImageView
AndroidFloatLabel,Textview that implements the floating label pattern.,weddingparty,https://github.com/weddingparty/AndroidFloatLabel,TextView
androidicons-adt-template,Android Studio / Eclipse ADT template for androidicons.com resources,jgilfelt,https://github.com/jgilfelt/androidicons-adt-template,Icons
AndroidSlidingUpPanel,This type of a panel is a common pattern also used in the Google Music app and the Rdio app. This is an open source implementation of this component that you are free to take advantage of in your apps. ,umano,https://github.com/umano/AndroidSlidingUpPanel,Navigation Drawer
AndroidStaggeredGrid,An Android staggered grid view which supports multiple columns with rows of varying sizes.,etsy,http://www.androidviews.net/2014/01/androidstaggeredgrid-view/,Listview
AnimatedExpandableListView,"An extendable, flexible ExpandableListView widget that supports animations.

This project is dedicated to J Withey for giving me the motivation to write and release this source.",idunnololz,https://github.com/idunnololz/AnimatedExpandableListView,Listview
Application Crash Reports for Android,ACRA is a library enabling Android Application to automatically post their crash reports to a GoogleDoc form. It is targetted to android applications developers to help them get data from their applications when they crash or behave erroneously.,ACRA,https://github.com/ACRA/acra,Bug Tracking
Bugsense,"BugSense is the leading developer tool to help you manage the Android fragmentation.

Lightweight
Proguard integration
ACRA
Capture LogCat
Maven / Gradle",Bugsense,https://www.bugsense.com/docs/android,Bug Tracking
butterknife,"View ""injection"" library for Android.",JakeWharton,https://github.com/JakeWharton/butterknife,Dependancy Injection
butterknife-zelezny,Android Studio plug-in for generating ButterKnife injections from selected layout XML.,inmite,https://github.com/inmite/android-butterknife-zelezny,Dependancy Injection
Caldroid,"Caldroid is a fragment that display calendar with dates in a month. Caldroid can be used as embedded fragment, or as dialog fragment. User can also swipe left/right to navigate to different months.

",roomorama,https://github.com/roomorama/Caldroid,Calender
Calligraphy,Custom fonts in Android the easy way.,chrisjenx,https://github.com/chrisjenx/Calligraphy,Fonts
cardsui,"An open source library offering the popular Google Now & Google Play cards views, additionnal features, view recycling and an optional Model-View-Controller structure.",nadavfima,https://github.com/nadavfima/cardsui-for-android,CardsUI
Crouton,"Crouton is a class that can be used by Android developers that feel the need for an alternative to the Context insensitive Toast.
A Crouton will be displayed at the position the developer decides.",keyboardsurfer,https://github.com/keyboardsurfer/Crouton,toasts
cwac-endless,"AJAX Web sites have sometimes taken up the ""endless page"" model, where scrolling automatically loads in new content, so you never have to click a ""Next"" link or anything like that.
EndlessAdapter is one approach to solving this problem. It is designed to wrap around another adapter, where you have your ""real"" data. Hence, it follows the Decorator pattern, augmenting your current adapter with new Endless Technology(TM).",commonsguy,https://github.com/commonsguy/cwac-endless,Listview
dagger,A fast dependency injector for Android and Java.,square,https://github.com/square/dagger,Dependancy Injection
DebugLog,Create a simple and more understandable Android logs.,MustafaFerhan,https://github.com/MustafaFerhan/DebugLog,Debugging
discreet-app-rate,A lightweight non intrusive app rate reminder for Android,PomepuyN,https://github.com/PomepuyN/discreet-app-rate,Feedback
DobSliding,DobSliding is an Open Source Android library that allows developers to develop applications with vertical sliding menus just like the Android notifications menu.,Startappz,https://github.com/Startappz/DobSliding,Navigation Drawer
DraggablePanel,Android library used to create an awesome Android UI based on a draggable element similar to the last YouTube graphic component.,pedrovgs,https://github.com/pedrovgs/DraggablePanel,Navigation Drawer
easy-adapter,"Using AdapterViews has never been so easy. Inspired by the view holder design pattern, this library provides an easier way of linking AdapterViews and the underlying data for that view without having to implement your own Adapter. ",ribot,https://github.com/ribot/easy-adapter,ListView
EventBus,"Android optimized event bus that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.",greenrobot,https://github.com/greenrobot/EventBus,Event Bus
Fading ActionBar,"Android library implementing a fading effect for the action bar, similar to the one found in the Play Music app",ManuelPeinado,http://www.androidviews.net/2013/05/fading-actionbar/,ActionBar
